,index,id,date,num_day_of_week,day_of_week,plays,likes,comments,reach,saved,shares,total_interactions,permalink,caption,hashtags,hour posted,enjoyment,shortcap
9,0,17877165770251528,2021-03-25,3,Thurs,783,194,1,32,1,2,198,https://www.instagram.com/reel/CM15ALphrl7/,"Matcha Latte

#matcha #matchalatte #matchalover #matcharecipes #matchagreentea #latte #lattelove #lattegram #galulab #barista #baristalife #baristadaily #coffee #caffeineaddict",14,12,24.776500638569605,"Matcha Latte

#matcha #ma"
13,1,17865548927371449,2021-03-30,1,Tues,2298,180,0,43,3,0,183,https://www.instagram.com/reel/CNCyaGAH-3a/,"Butterfly Pea Tea Latte 🦋 

-Milk
-Brown Sugar Cinnamon Syrup
-Ice
-Butterfly Pea Tea

#latte #gaulab #mixology #brewing #teatime #lattegram #lattelove #butterflypeaflower #butterflypeatea",9,12,7.83289817232376,Butterfly Pea Tea Latte 🦋
14,2,18138970360161828,2021-03-31,2,Weds,985,193,0,55,4,1,198,https://www.instagram.com/reel/CNFW6oznspc/,"Caramel Frappe 

-Ice
-Coffee
-Caramel
-Xanthan Gum
-Milk

#galulab #frappe #frappuccino #frappé #caramel #caramelfrappe #caramelcoffee #caramelfrappuccino #coffee #coffeelover #coffeetime #coffeeaddict",12,12,19.593908629441625,"Caramel Frappe 

-Ice
-Co"
15,3,17867279756434958,2021-04-01,3,Thurs,1059,242,4,35,7,0,253,https://www.instagram.com/reel/CNIr5iWnlJL/,"BPT Lemonade 🦋 🍋 

#bpt #butterflypeaflower #butterflypeatea #lemonade #mixology #lemon #lemondrink #galulab #drinkstagram #drinks",10,19,22.851746931067044,"BPT Lemonade 🦋 🍋 

#bpt #"
16,4,18087997126247426,2021-04-02,4,Fri,1957,193,2,49,6,1,202,https://www.instagram.com/reel/CNLjJQXnNC4/,"Coffee Rum

-Coffee
-Rum
-Cinnamon Syrup
-Ice

#coffeerum #coffeedrink #rum #coffeelover #coffeemixology #mixology #rumlovers #galulab",8,22,9.862033725089422,"Coffee Rum

-Coffee
-Rum
"
17,5,17842297982578353,2021-04-03,5,Sat,994,232,4,27,5,0,241,https://www.instagram.com/reel/CNNXA0XnD_-/,"Pumpkin Pie Iced Latte

-Ice
-Cold Brew Concentrate
-Pumpkin Spice Syrup
-Milk

#pumpkinpie #pumpkinpiespice #pumpkinlatte #pumpkinspicelatte #pumpkinpielatte #latte #lattelove #icedlatte #icedlatteaddict",9,15,23.340040241448694,"Pumpkin Pie Iced Latte

-"
18,6,17956429033417503,2021-04-04,6,Sun,1317,265,2,53,9,0,276,https://www.instagram.com/reel/CNPvdUdH1Vk/,"Strawberry Basil Mojito

-frozen strawberries 
-basil
-honey
-ice
-lemon
-rum
-soda

#galulab #mojito #mojitotime #strawberrymojito #strawberrybasilmojito #mixology #mixologist #mixologyart #bartender",9,13,20.121488230827637,"Strawberry Basil Mojito

"
19,7,17910386635698062,2021-04-05,0,Mon,1317,300,6,32,13,1,320,https://www.instagram.com/reel/CNSKaN_nmyd/,"Blueberry Iced Latte 🫐 

-blueberry 
-sugar
-water
-ice
-milk
-cold brew

#galulab #coffee #coldbrew #coldbrewcoffee #blueberry #latte #coffeelover #latteartgram #milk",9,12,22.779043280182233,"Blueberry Iced Latte 🫐 

"
20,8,17906758939792133,2021-04-06,1,Tues,2465,245,4,75,6,0,255,https://www.instagram.com/reel/CNUzAednOWE/,"Black Lavender Boba Tea🧋 

-boba
-ice
-lavender syrup
-black tea
-milk

#boba #galulab #bobatea #bobamilktea #blacktea #lavender #blackmilktea #milktea #tealover #bobatealover",10,12,9.939148073022313,Black Lavender Boba Tea🧋 
22,9,18005639230312119,2021-04-08,3,Thurs,914,169,5,57,3,0,177,https://www.instagram.com/reel/CNaErhdHC3E/,"Rum Sour 

-aquafaba
-lemon
-rum
-honey
-ice 
-flower bitters

#galulab #rumsour #rum #mixology #rumcocktails #whiskysour #mixologist #flordecaña #mountainelixirs #strongwatermountainelixirs",10,13,18.49015317286652,"Rum Sour 

-aquafaba
-lem"
23,10,17956886152422156,2021-04-09,4,Fri,981,152,4,36,3,0,159,https://www.instagram.com/reel/CNch72snEUl/,"Vietnamese Coffee ☕️ 

-condensed milk
-coffee

#vietnamesecoffee #coffee #galulab #mixology #coffeelover #coffeetime #coffeeaddict #espresso #aeropress #condensedmilk @aeropress",10,12,15.494393476044852,"Vietnamese Coffee ☕️ 

-c"
24,11,17867107580445557,2021-04-10,5,Sat,2838,218,5,41,9,0,232,https://www.instagram.com/reel/CNfgpUhnx9p/,"Michelada de Maracuya

-tajin rim
-ice
-lemon
-Worcestershire 
-hot sauce
-passionfruit juice
-lagger

#michelada #mixology #galulab #heineken #worcestershire #beer #micheladas #beerstagram #beerlover @heineken #beerme",10,16,7.681465821000705,"Michelada de Maracuya

-t"
26,12,17896304584962552,2021-04-12,0,Mon,962,185,3,72,5,0,193,https://www.instagram.com/reel/CNkZNaRndov/,"Peppermint Mocha Iced Latte 

-ice
-peppermint syrup
-chocolate sauce
-coffee

#peppermint #galulab #peppermintmocha #mintcoffee #coffee #mocha #coffeelover #coffeetime",8,14,19.230769230769234,Peppermint Mocha Iced Lat
27,13,17894593024921843,2021-04-13,1,Tues,3642,281,7,59,23,1,312,https://www.instagram.com/reel/CNm1n7_nVVi/,"Color Changing Margarita 💙->💗

-Butterfly Pea Tea
-Honey
-Tequila
-Tajin Rim
-Ice
-Lemon

#margarita #margaritatime #butterflypeaflower #mixology #bartender #mixology #galulab",7,12,7.71554091158704,Color Changing Margarita 
29,14,17889011900108537,2021-04-15,3,Thurs,2319,209,7,43,11,0,227,https://www.instagram.com/reel/CNr9guRnl7x/,"Cinnamon Brown Sugar Boba Coffee

-boba
-cinnamon brown sugar syrup
-ice
-milk
-coffee

#cinnamonsugar #brownsugarboba #brownsugarmilktea #coffee #coffeelover #coffeetime #boba #bobatea #bobalife #cinnamonbrownsugar",10,12,9.01250539025442,Cinnamon Brown Sugar Boba
30,15,17894740273992059,2021-04-16,4,Fri,710,142,4,67,4,0,150,https://www.instagram.com/reel/CNu1LPfniXB/,"Frozen Pineapple Daiquiri 🍍 

-frozen pineapple 
-xanthan gum
-honey
-lemon
-rum

#daiquiri #pineapple #galulab #frozendrinks #frozendaiquiri #rum #rumlovers #flordecaña #daiquiristogo #pineappledaiquiri",10,15,20.0,Frozen Pineapple Daiquiri
31,16,17873642846346669,2021-04-17,5,Sat,787,151,1,87,7,0,159,https://www.instagram.com/reel/CNxcbevnhhj/,"Maracuya Mojito

-Maracuya
-Honey
-Mint
-Ice
-Rum
-Lemon Juice
-Soda

#maracuya #mojito #galulab #mojitotime #mojitos #mojitodemaracuya #rum #rumlovers #flordecaña",9,15,19.186785260482846,"Maracuya Mojito

-Maracuy"
32,17,18219000340027366,2021-04-19,0,Mon,2556,142,2,71,7,2,153,https://www.instagram.com/reel/CN1BzE-nGlJ/,"Mango Jalapeño Margarita 🥭 

-mango
-jalapeño
-tequila
-honey
-lemon
-tajin rim
-ice

#margarita #galulab #mangomargarita #mangojalapeño #mangojalapenomargarita #margaritas #margaritatime #tequila #tequilacocktails",9,01,5.555555555555555,Mango Jalapeño Margarita 
34,18,17914973473674199,2021-04-27,1,Tues,7826,195,3,54,8,0,206,https://www.instagram.com/reel/COKtWiAHgtr/,"Rum Fashioned 🔥 

-ginger simple syrup
-ice
-rum 
-bitters
-flame citrus peal 

#galulab #oldfashioned #rum #mixology #mixologybar #bartender #rumlovers",7,11,2.4916943521594686,"Rum Fashioned 🔥 

-ginger"
35,19,18143621362161885,2021-05-16,6,Sun,2137,108,0,51,4,0,112,https://www.instagram.com/reel/CO8a90Rn1j_/,"Ginger Matcha Boba Tea 🍵 🧋 

-hot water
-matcha
-ginger syrup
-boba
-ice 
-milk

#matcha #matchalatte #galulab #matchaicedlatte #boba #bobatea #ginger #gingertea #bobamilktea #milktea #bobalife",11,18,5.053813757604118,Ginger Matcha Boba Tea 🍵 
36,20,17867204102516739,2021-06-03,3,Thurs,2257,133,4,105,7,0,144,https://www.instagram.com/reel/CPpaBegHEdG/,"Macuá 🇳🇮 

-ice
-rum
-guava juice
-orange juice
-lime juice 

#macua #nicaraguanfood #ronflordecaña #ronflordecaña18años #flordecaña #rum #bartender #bartending",8,05,5.8927780239255645,"Macuá 🇳🇮 

-ice
-rum
-gua"
37,21,17907697048862029,2021-06-26,5,Sat,883,80,0,56,3,0,83,https://www.instagram.com/reel/CQkR23pHBF-/,"Grand Cosmo 

-vodka
-grand marnier
-lime juice
-cranberry juice
-ice

#cosmo #cosmopolitan #grandmarnier @grandmarnierusa #bartender #mixologist #vodka @belvederevodka #belvedere",7,02,9.060022650056625,"Grand Cosmo 

-vodka
-gra"
38,22,17909834540091494,2021-09-23,3,Thurs,1388,40,1,69,0,0,41,https://www.instagram.com/reel/CUKVxQ5Mv17/,Salted Honey Cream Coffee 🍯 🧂,0,10,2.881844380403458,Salted Honey Cream Coffee
39,23,17969388235454046,2021-09-27,0,Mon,3472,78,2,132,1,0,81,https://www.instagram.com/reel/CUV5dtrg5qv/,"Moscow Mule 

-ice
-vodka
-lime juice
-ginger beer",0,22,2.2465437788018434,"Moscow Mule 

-ice
-vodka"
40,24,17886799856375215,2021-10-02,5,Sat,5829,205,0,5912,10,2,217,https://www.instagram.com/reel/CUh9dixs0eT/,"Paloma 🕊 

-tajin rim
-ice
-lime juice
-grapefruit soda

#paloma #fevertree @fevertree_usa #tequila #tequilamexico #palomacocktail #tequilalover",6,15,3.516898267284269,"Paloma 🕊 

-tajin rim
-ic"
41,25,18014450818337689,2021-10-14,3,Thurs,6804,178,0,6896,10,10,198,https://www.instagram.com/reel/CVA6zy-DaWM/,"Tequila Michelada

-chamoy rim
-ice
-lime juice (forgot to film it)
-Worcestershire 
-salt
-hot sauce
-tequila
-beer
-tajin
-tarugos tamarindo con chile as a straw (bite the tip)",0,15,2.6161081716637273,"Tequila Michelada

-chamo"
42,26,17926289650878166,2021-10-18,0,Mon,3318,62,1,3370,1,1,65,https://www.instagram.com/reel/CVLdLqJMtB6/,"Brown Sugar Ginger Boba Latte

-bobas
-brown sugar ginger syrup
-ice
-milk
-espresso shot",0,17,1.8685955394816152,Brown Sugar Ginger Boba L
43,27,18009880600331634,2021-11-04,3,Thurs,4243,167,0,4291,6,17,190,https://www.instagram.com/reel/CV3UTajgyc_/,"We love our Paloma’s 💕🕊 Cant get enough of them! 

#paloma #palomacocktail #tequila #tequilathursday #tequilatequila @fevertreemixers #cocktails #mixology #mixologist #cocktailsofinstagram",9,18,3.9358944143294843,We love our Paloma’s 💕🕊 C
45,28,17988822931417406,2021-11-18,3,Thurs,1148,29,0,1134,2,0,31,https://www.instagram.com/reel/CWbyBpzFZM_/,"Milk 🥛 Punch Piña 🍍 Colada 🥥 

-rum
-lime juice
-pineapple juice
-coconut water
-milk
Let it sit for at least 20 minutes 
Strain

#milkpunch #cocktails #milkpunchcocktail #pinacolada #cocktail #piñacolada #cocktailsofinstagram",7,22,2.5261324041811846,Milk 🥛 Punch Piña 🍍 Colad
46,29,17882809127539362,2021-11-21,6,Sun,680,31,0,634,3,3,37,https://www.instagram.com/reel/CWjCsyWJDCc/,"Pumpkin Spiced Latte 🎃 

#pumpkin #pumpkinspice #pumpkinspicelatte #pumpkinseason #coffee #latte #latteartgram #coffeelover",8,18,4.5588235294117645,"Pumpkin Spiced Latte 🎃 

"
47,30,18015623518353092,2021-12-02,3,Thurs,4014,169,7,5083,6,7,189,https://www.instagram.com/reel/CW-3oFVv6l1/,"Spicy Pineapple Margarita 🌶 🍍 

-ice
-jalapeño slices
-lime juice
-tequila
-pineapple slices 
-simple syrup 
-shake
-chamoy and tajin rim
Serve on ice 🧊 🍹 

#margarita #mixologist #tequila #pineapplemargarita #margaritas #mixology #cocktails #jalapenomargarita #spicymargarita",9,13,4.210264075734928,Spicy Pineapple Margarita
48,31,17978683819448470,2021-12-05,6,Sun,3931,125,0,4070,4,5,134,https://www.instagram.com/reel/CXHjUSlgmiw/,"Ginger Latte

-ice
-coffee
-ginger extract
-simple syrup
-milk

#latte #latteartgram #coffee #coffeelover #coffeetime #coffeebar #barista #baristalife #baristadaily",9,22,3.1798524548460954,"Ginger Latte

-ice
-coffe"
50,32,18196073101120807,2021-12-10,4,Fri,1344,55,0,1503,4,0,59,https://www.instagram.com/reel/CXTBUlJLF2Q/,"Cucumber 🥒 Jalapeño and Raspberry Gin and Tonic 
❤️💚❤️💚❤️💚

-Cucumbers and Jalapeños/Raspberries
-muddle
-gin
-lemon
-tonic water

#christmascocktails #ginandtonic #ginandtonicday #cocktails #drinks #cocktailsofinstagram",6,09,4.092261904761905,Cucumber 🥒 Jalapeño and R
51,33,17897948951510805,2021-12-12,6,Sun,4574,102,0,4809,20,17,139,https://www.instagram.com/reel/CXZEh-HPNuc/,"It beginning to taste a lot like Christmas with our cranberry clementine + rosemary cocktail 🎄 🎅
-clementines
-gin
-Clementine+rosemary syrup
-ice
-cranberries 
-lime juice
-club soda

#christmas #christmascocktails #cocktails #barista #gin #ginlovers",6,17,2.229995627459554,It beginning to taste a l
52,34,17911533833137315,2021-12-24,4,Fri,3594,115,1,3566,2,0,118,https://www.instagram.com/reel/CX3-kHTA41d/,"Have a Holly Jolly Christmas 🎄 

Peppermint mocha latte 

-chocolate
-espresso
-peppermint syrup
-milk

#peppermintmocha #peppermintmochalatte #coffee #coffeelover #christmas #christmascoffee #coffeetime",7,17,3.1997774067890927,Have a Holly Jolly Christ
53,35,17906632457381446,2022-03-18,4,Fri,1313,39,1,1245,0,22,62,https://www.instagram.com/reel/CbPxsO9AHLf/,"That Fizz ✨👂
One of our favorite drinks, but with a little twist 😍
Moscow Mule 

-ginger beer
-lime juice
-rum 

#asmr #moscowmule #cocktails #moscowmuletime #rum #cocktailrecipes #rumlovers #bartender #bartenderlife #its5oclocksomewhere",10,13,2.9702970297029703,"That Fizz ✨👂
One of our f"
54,36,18284391091023563,2022-03-20,6,Sun,3085,121,1,3036,12,3,137,https://www.instagram.com/reel/CbVRaV7tfrS/,"Ginger Iced Latte 

-ice
-coffee
-ginger extract
-simple syrup
-milk

#latte #coffee #coffeelover #lattegram #icedlatte #baristadaily #gingerlatte",7,16,3.9222042139384112,"Ginger Iced Latte 

-ice
"
55,37,18157651726227605,2022-03-26,5,Sat,11479,215,2,11477,14,11,242,https://www.instagram.com/reel/CblP4k4L-MQ/,"Tequila Sunrise 🌅 

-ice
-tequila
-orange juice
-grenadine 

#tequila #tequilasunrise #tequilashots #tequilacocktails #cocktailvideos",5,21,1.8729854516943985,"Tequila Sunrise 🌅 

-ice
"
56,38,17981332972492013,2022-03-31,3,Thurs,8579,481,2,8480,18,22,523,https://www.instagram.com/reel/CbxkSV3pUzn/,"Blackberry Gin and Tonic 💙

-blackberries 
-ice
-gin
-lemon juice
-tonic water

#ginandtonic #mixology #blackberries #gintonic #gin",5,16,5.606714069238839,Blackberry Gin and Tonic 
57,39,17942974780981917,2022-04-26,1,Tues,11273,454,8,11382,9,14,485,https://www.instagram.com/reel/Cc0_0mevzkJ/,"Whiskey Highball

-whiskey
-soda water

#whiskey #whiskeyhighball #whiskeylover #whiskeygram #cocktailvideos #cocktails #mixology",7,20,4.027321919630976,"Whiskey Highball

-whiske"
58,40,17969481454581159,2022-04-27,2,Weds,3332,229,0,3350,4,2,235,https://www.instagram.com/reel/Cc3lY32Jpc0/,"That Bloom 🥹
Are you more of an iced coffee or a hot coffee person? 

#coffee #coffeelover #coffeelover #coffeebrewing #coffeebloom #freshcoffee",6,20,6.872749099639856,"That Bloom 🥹
Are you more"
59,41,18295086454019166,2022-05-10,1,Tues,3764,123,0,3757,3,1,127,https://www.instagram.com/reel/CdZScdJjRUg/,"Macua Milk Punch

-white rum
-lime juice
-orange juice
-guava juice
-milk

#rumcocktail #macua #milkpunchcocktail #cocktailvideos #cocktail @bacardi",5,22,3.2678002125398518,"Macua Milk Punch

-white "
60,42,17932450328270887,2022-05-27,4,Fri,9413,627,3,9675,15,39,684,https://www.instagram.com/reel/CeDL8BntKHk/,"Pineapple Jalapeño Paloma 🍍🌶 🕊

#paloma #tequila #milagrotequila @milagrotequila #tequilatequila",4,05,6.661000743652395,Pineapple Jalapeño Paloma
61,43,17946202954986188,2022-05-28,5,Sat,4570,333,0,4624,4,6,343,https://www.instagram.com/reel/CeGMo7svIoR/,"Gin and Tonic 🧊so simple yet so versatile 🖤🧡just add some fruit and you’ll create a unique experience every time 🍓🍑🍍🥝🥭🥥🫐

#ginandtonic #gin #cocktails #fruitcocktail",4,09,7.286652078774616,Gin and Tonic 🧊so simple 
62,44,18179135635169713,2022-06-14,1,Tues,19591,828,2,20289,34,34,898,https://www.instagram.com/reel/CeyXq6QlMJ9/,"Ginger Old Fashioned🍊

-ginger simple syrup
-whiskey
-bitters
-orange peel

#oldfashioned #whiskey #whiskeylife #okdfashion #oldfashionedcocktail #cocktails #cocktailrecipes",7,13,4.226430503802766,"Ginger Old Fashioned🍊

-g"
63,45,18217133086176115,2022-06-15,2,Weds,3427,174,0,3365,7,34,215,https://www.instagram.com/reel/CezpYFsvHRt/,"A little preview of what we do here ❤️

#cocktails #coffee #tea #bartender #mixologist #barista",6,01,5.077327108257951,A little preview of what 
64,46,17968516003712577,2022-06-26,6,Sun,5483,260,1,5531,12,11,284,https://www.instagram.com/reel/CfSQDWzPMpP/,"Spicy Watermelon Margarita 🌶🍉

-tajin rim @tajinusa @tajinmexico 
-watermelon
-fermented spicy honey
-more honey
-lime juice
-tequila
-ice
-mix 🤗

#margarita #watermelon #cocktails #cocktailrecipes #cocktailsofinstagram #margaritas #tajin #watermelonmargarita",8,22,4.741929600583622,Spicy Watermelon Margarit
65,47,17950233376876203,2022-06-28,1,Tues,10511,354,4,10809,32,16,406,https://www.instagram.com/reel/CfXadHFLdMS/,"Macua 🇳🇮🍊

-lime juice
-orange juice
-white rum
-guava juice

#macua #rum #whiterum #cocktails #rumcocktails #mixologist",6,22,3.367900294929122,"Macua 🇳🇮🍊

-lime juice
-o"
66,48,17912564639584237,2022-07-05,1,Tues,23981,683,1,24206,27,15,726,https://www.instagram.com/reel/CfpGIslF-Ez/,"Easy and refreshing 🧊🫧 coffee☕️ for a bad hair day 🤭

#coffee #coffeesoda #bartenderlife #barista #coffeetime #coffeelover",6,19,2.848088069721863,Easy and refreshing 🧊🫧 co
67,49,17950662472985346,2022-07-06,2,Weds,9785,440,0,10189,18,15,473,https://www.instagram.com/reel/CfrdsKpPzg9/,"Maracuya Macua 🧡💛💕

-rum
-guava juice
-maracuya juice
-orange juice
-citric acid
-orange bitters

#macua #nicaragua #cocktails #rum #drink #its5oclocksomewhere",6,17,4.496678589678078,"Maracuya Macua 🧡💛💕

-rum
"
68,50,17934016823483928,2022-07-10,6,Sun,23470,855,3,23086,85,33,976,https://www.instagram.com/reel/Cfz5TNephA0/,"White Sangria 🤍🍷🍑🍊

#sangria #whitesangria #wine #cocktails",4,00,3.6429484448231784,"White Sangria 🤍🍷🍑🍊

#sang"
69,51,17863638440756387,2022-07-10,6,Sun,21292,919,1,21631,38,47,1005,https://www.instagram.com/reel/Cf1oW_WOORm/,"Peach Melon Gin & Tonic 🍑🧡💛

-peach
-melon
-ice
-lime juice
-gin
-@fevertreemixers tonic water

#gin #gintonic #cocktails #ginandtonic",4,16,4.316175089235394,Peach Melon Gin & Tonic 🍑
70,52,17946307523097890,2022-07-11,0,Mon,8123,317,0,8243,20,3,340,https://www.instagram.com/reel/Cf4viNPuiYj/,"Mega throwback to when we were in college 🤭
Boba Vietnamese milk tea with cheese foam 🧋🥛🧀

-boba 
-ice
-condensed milk
-milk
-white tea
Cheese Foam:
-cream cheese
-powdered sugar
-milk
-heavy cream

#boba #bobatea #bobamilktea #milktea #milkteatime #whitetea #tea #teatime #vietnamesetea",9,21,3.902499076695802,Mega throwback to when we
72,53,17915457761478099,2022-07-17,6,Sun,6598,498,0,6682,19,13,530,https://www.instagram.com/reel/CgHrs1HMBRU/,"Coconut Margarita 🥥🌴

-lime juice
-coconut milk
-homemade chilli honey
-honey
-tequila @eljimadortequila 

#tequila #coconutmargarita #margarita #tropicalvibes #tropicalcocktails #cocktails #eljimador #coconutcocktail #asmr",9,16,7.547741739921188,"Coconut Margarita 🥥🌴

-li"
73,54,17940870107060618,2022-07-19,1,Tues,14049,518,2,14105,14,12,546,https://www.instagram.com/reel/CgNSvlWD3kW/,"Mocha Latte 🍫 ☕️ 🥛 

#coffee #coffeetime #coffeelover #coffeeaddict #mocha #mochalatte #latte #lattegram #asmr",9,20,3.687095166915795,"Mocha Latte 🍫 ☕️ 🥛 

#cof"
74,55,17915140724487104,2022-07-21,3,Thurs,42155,1093,6,41219,78,99,1276,https://www.instagram.com/reel/CgSnvYVl1cd/,"Watermelon Chelada 🍉 

@corona #michelada #micheladatime #asmr #cocktails #chelada #beer #cerveza",7,22,2.592812240540861,"Watermelon Chelada 🍉 

@c"
75,56,17970835300669819,2022-07-24,6,Sun,32141,1205,11,31912,69,28,1313,https://www.instagram.com/reel/CgaLv5fpsRO/,"Japanese Highball 🍋 ✨

-whiskey
-seltzer 
-lemon oil
-lemon peel

#japanesehighball #highball #whiskey #whiskeygram #cocktails #asmr",6,20,3.7491055038735572,"Japanese Highball 🍋 ✨

-w"
76,57,17938561961245834,2022-07-27,2,Weds,4900,179,2,4806,9,2,192,https://www.instagram.com/reel/CgfwZW7MkO9/,"What’s your favorite drink? 

#coffee #matcha #miami #florida #america #drinks #cocktails",7,00,3.653061224489796,What’s your favorite drin
77,58,18310103056005335,2022-07-28,3,Thurs,22309,739,11,22402,36,45,831,https://www.instagram.com/reel/CgkgeuHOrHe/,"Cucumber Jalapeño Margarita 🥒

-cucumber
-jalapeño 
-lime juice
-honey
-fermented honey
-tequila
-ice

#tequila #margarita #cucumbermargarita #jalapeño #spicymargarita #florida #miami #miamibeach",8,21,3.312564435877897,Cucumber Jalapeño Margari
78,59,17938619378111396,2022-07-31,6,Sun,7795,112,1,7851,0,0,113,https://www.instagram.com/reel/CgrrItwNRCx/,#miami #miamibeach #florida #drinks #coffee #matcha #cocktails,7,15,1.436818473380372,#miami #miamibeach #flori
79,60,17943286763235448,2022-08-22,0,Mon,152831,6423,26,148107,380,375,7204,https://www.instagram.com/reel/Chi1Julsjf7/,"Jelly iced coffee 🤎🧊🥛

coffee Jelly:
-coffee
-unflavored gelatin 
-boiling water
-brown sugar

Iced Coffee:
-coffee jelly
-ice
-ginger brown sugar syrup
-milk
-cold brew

#coffee #coffeejelly #icedcoffee #coldbrew #miami #miamibeach #miaminightlife #florida #floridalife",9,02,4.202681393172851,"Jelly iced coffee 🤎🧊🥛

co"
80,61,17948707052149754,2022-08-24,2,Weds,129428,3965,27,125943,406,277,4675,https://www.instagram.com/reel/ChqAbSROPaj/,"Funky mojito 🍑 🌱 ❤️💚

-peach
-mint
-simple syrup
-lime juice
- ice
- rum
- sparkling water @drinkspindrift 

#mojito #mojitos #miami #fyp #ftlauderdale #florida #drinks #drink #cocktails",9,20,3.0634793089594217,"Funky mojito 🍑 🌱 ❤️💚

-pe"
81,62,17917715570593708,2022-08-29,0,Mon,31882,713,9,32018,39,73,834,https://www.instagram.com/reel/Ch2mbjmDKhg/,"New obsession 💚
Caramel brown sugar matcha latte 🧋

-boba
-ginger brown sugar syrup
-salted caramel @talenti ice cream
-milk
-matcha

#matchalatte #matcha #matchalover #latte #florida #floridalife #floridakeys #fortlauderdale #miami #fyp #viral",11,19,2.236371620350041,"New obsession 💚
Caramel b"
